Time	Open	High	Low	Close	Volume
2013-01-27 23:00:00	1.51374	1.5154	1.51367	1.51505	4720
2013-01-28 00:00:00	1.51505	1.51508	1.513	1.51421	4499
2013-01-28 01:00:00	1.5142	1.51422	1.51173	1.51186	4419
2013-01-28 02:00:00	1.51186	1.51187	1.51065	1.51164	2960
2013-01-28 03:00:00	1.51165	1.51174	1.51058	1.51152	1806
2013-01-28 04:00:00	1.51154	1.51327	1.51126	1.51297	2243
2013-01-28 05:00:00	1.5129	1.51386	1.51222	1.51258	3124
2013-01-28 06:00:00	1.5126	1.51306	1.5106	1.51129	4423
2013-01-28 07:00:00	1.51135	1.51195	1.50971	1.51074	8540
2013-01-28 08:00:00	1.51074	1.51416	1.51049	1.51416	9145
2013-01-28 09:00:00	1.51416	1.51441	1.51236	1.51384	7582
2013-01-28 10:00:00	1.51381	1.51417	1.51292	1.51365	6138
2013-01-28 11:00:00	1.51362	1.51367	1.51163	1.51175	5788
2013-01-28 12:00:00	1.51176	1.51428	1.51169	1.51287	7518
2013-01-28 13:00:00	1.51283	1.51376	1.51148	1.51302	9100
2013-01-28 14:00:00	1.513	1.51347	1.51151	1.51212	8931
2013-01-28 15:00:00	1.51212	1.51256	1.50902	1.50926	8810
2013-01-28 16:00:00	1.50921	1.50974	1.50691	1.50805	9287
2013-01-28 17:00:00	1.50809	1.50866	1.50732	1.50823	5144
2013-01-28 18:00:00	1.50822	1.50857	1.50716	1.50731	3603
2013-01-28 19:00:00	1.50729	1.50762	1.5063	1.50697	2659
2013-01-28 20:00:00	1.50696	1.50772	1.50661	1.50699	2939
2013-01-28 21:00:00	1.50699	1.50717	1.50621	1.50647	2746
2013-01-28 22:00:00	1.50651	1.50771	1.50607	1.50756	1889
2013-01-28 23:00:00	1.50757	1.50766	1.5056	1.50595	4244
2013-01-29 00:00:00	1.50594	1.50632	1.50384	1.50466	4471
2013-01-29 01:00:00	1.50461	1.50461	1.50306	1.50357	3864
2013-01-29 02:00:00	1.50357	1.50399	1.50227	1.50346	3224
2013-01-29 03:00:00	1.50349	1.50478	1.50325	1.50436	3265
2013-01-29 04:00:00	1.50438	1.50442	1.50319	1.50347	2527
