Time	Open	High	Low	Close	Volume
2013-01-28 10:00:00	1.57474	1.57475	1.57243	1.57243	8337
2013-01-28 11:00:00	1.57245	1.57263	1.5705	1.5705	8119
2013-01-28 12:00:00	1.57049	1.57329	1.57049	1.57257	11026
2013-01-28 13:00:00	1.57256	1.57389	1.57102	1.57366	11717
2013-01-28 14:00:00	1.57366	1.57431	1.57133	1.57171	11911
2013-01-28 15:00:00	1.57171	1.57197	1.56982	1.57082	11929
2013-01-28 16:00:00	1.5708	1.57124	1.56761	1.56846	11859
2013-01-28 17:00:00	1.56849	1.5694	1.56738	1.56912	6719
2013-01-28 18:00:00	1.56916	1.56916	1.5677	1.56861	4066
2013-01-28 19:00:00	1.56861	1.56967	1.56854	1.56965	3047
2013-01-28 20:00:00	1.56964	1.56964	1.56901	1.56901	3259
2013-01-28 21:00:00	1.56905	1.56943	1.56872	1.56941	2585
2013-01-28 22:00:00	1.56942	1.56951	1.56843	1.569	2047
2013-01-28 23:00:00	1.56899	1.56974	1.56896	1.56956	2380
2013-01-29 00:00:00	1.56956	1.57004	1.56919	1.5699	3223
2013-01-29 01:00:00	1.5699	1.57024	1.56941	1.56953	2831
2013-01-29 02:00:00	1.56953	1.57047	1.56949	1.57013	2426
2013-01-29 03:00:00	1.57011	1.57046	1.56969	1.56981	2517
2013-01-29 04:00:00	1.56977	1.5707	1.56974	1.57035	2182
2013-01-29 05:00:00	1.57036	1.57062	1.5701	1.5702	2731
2013-01-29 06:00:00	1.57022	1.57076	1.56952	1.57004	3301
2013-01-29 07:00:00	1.57003	1.57134	1.56952	1.57129	9189
2013-01-29 08:00:00	1.57127	1.5726	1.57041	1.57156	11232
2013-01-29 09:00:00	1.57156	1.57171	1.57023	1.57112	9767
2013-01-29 10:00:00	1.57113	1.57242	1.57049	1.57179	11564
2013-01-29 11:00:00	1.57177	1.57403	1.57159	1.57391	11618
2013-01-29 12:00:00	1.57391	1.57429	1.57212	1.57265	8206
2013-01-29 13:00:00	1.57265	1.57407	1.57106	1.57136	10580
2013-01-29 14:00:00	1.57134	1.57672	1.57108	1.57628	14051
2013-01-29 15:00:00	1.57628	1.57729	1.57449	1.57471	13498
2013-01-29 16:00:00	1.57472	1.57578	1.57323	1.5749	8933
2013-01-29 17:00:00	1.57487	1.57568	1.57418	1.57548	4284
2013-01-29 18:00:00	1.57546	1.57571	1.57509	1.57524	2943
2013-01-29 19:00:00	1.57524	1.57617	1.57491	1.57576	4927
